"id","ident","estimated_departure_time","estimated_arrival_time","origin","destination","seats_cabin_first","seats_cabin_business","seats_cabin_coach","created_at","updated_at","flightaware_call_type"
1985866,"UAL1574","2018-07-15 15:28:00","2018-07-15 16:36:00","KPIT","KORD",8,0,159,"2018-07-13 15:10:34.744289","2018-07-13 15:10:34.744289","FlightInfo"
1985867,"UAL734","2018-07-15 19:10:00","2018-07-15 20:25:00","KORD","KPIT",8,0,138,"2018-07-13 15:10:35.005141","2018-07-13 15:10:35.005141","FlightInfo"
1985894,"DAL1939","2018-07-15 19:22:00","2018-07-15 20:47:00","KPIT","KATL",16,0,133,"2018-07-13 17:10:45.837428","2018-07-13 17:10:45.837428","FlightInfo"
1985895,"AAL1551","2018-07-15 19:51:00","2018-07-15 22:25:00","KPIT","KDFW",16,0,124,"2018-07-13 17:10:46.318636","2018-07-13 17:10:46.318636","FlightInfo"
1985952,"AAY1411","2018-07-13 18:59:00","2018-07-13 20:06:00","KMYR","KPIT",0,0,156,"2018-07-13 19:10:35.513302","2018-07-13 19:10:35.513302","FlightInfo"
1985953,"DAL2305","2018-07-15 21:30:00","2018-07-15 23:29:00","KPIT","KMSP",16,0,142,"2018-07-13 19:10:35.742053","2018-07-13 19:10:35.742053","FlightInfo"
1985954,"JBU1685","2018-07-15 19:10:00","2018-07-15 20:37:00","KBOS","KPIT",0,0,100,"2018-07-13 19:10:36.008849","2018-07-13 19:10:36.008849","FlightInfo"
1985979,"SWA3260","2018-07-15 15:45:00","2018-07-15 18:40:00","KPIT","KHOU",0,0,143,"2018-07-13 20:00:42.905389","2018-07-13 20:00:42.905389","AirlineFlightSchedules"
1985980,"AAL1426","2018-07-15 12:26:00","2018-07-15 14:15:00","KPIT","KORD",0,16,144,"2018-07-13 20:00:42.916287","2018-07-13 20:00:42.916287","AirlineFlightSchedules"
1985981,"AAL2529","2018-07-15 23:02:00","2018-07-16 00:49:00","KPIT","KORD",0,16,144,"2018-07-13 20:00:42.924587","2018-07-13 20:00:42.924587","AirlineFlightSchedules"
1985982,"AAL1714","2018-07-15 11:01:00","2018-07-15 12:30:00","KPIT","KCLT",0,12,138,"2018-07-13 20:00:42.932863","2018-07-13 20:00:42.932863","AirlineFlightSchedules"
1985983,"FDY1072","2018-07-15 14:10:00","2018-07-15 15:00:00","KPIT","KDUJ",0,0,9,"2018-07-13 20:00:42.941183","2018-07-13 20:00:42.941183","AirlineFlightSchedules"
1985984,"FDY554","2018-07-15 19:45:00","2018-07-15 20:35:00","KPIT","KDUJ",0,0,9,"2018-07-13 20:00:44.031582","2018-07-13 20:00:44.031582","AirlineFlightSchedules"
1985985,"SWA3902","2018-07-16 01:00:00","2018-07-16 03:15:00","KPIT","KTPA",0,0,143,"2018-07-13 20:00:44.041437","2018-07-13 20:00:44.041437","AirlineFlightSchedules"
1985986,"FDY694","2018-07-15 17:30:00","2018-07-15 18:25:00","KPIT","KBFD",0,0,9,"2018-07-13 20:00:44.050135","2018-07-13 20:00:44.050135","AirlineFlightSchedules"
1985987,"AAL853","2018-07-15 16:05:00","2018-07-15 17:35:00","KPIT","KCLT",8,0,120,"2018-07-13 20:00:44.058653","2018-07-13 20:00:44.058653","AirlineFlightSchedules"
1985988,"UAL1574","2018-07-15 15:18:00","2018-07-15 16:46:00","KPIT","KORD",8,0,159,"2018-07-13 20:00:44.067227","2018-07-13 20:00:44.067227","AirlineFlightSchedules"
1985989,"SWA4234","2018-07-15 19:20:00","2018-07-15 22:05:00","KPIT","KDAL",0,0,175,"2018-07-13 20:00:44.075474","2018-07-13 20:00:44.075474","AirlineFlightSchedules"
1985990,"UAL220","2018-07-15 21:40:00","2018-07-15 23:26:00","KPIT","KORD",8,0,138,"2018-07-13 20:00:45.075119","2018-07-13 20:00:45.075119","AirlineFlightSchedules"
1985991,"SWA3646","2018-07-15 20:30:00","2018-07-15 22:50:00","KPIT","KTPA",0,0,143,"2018-07-13 20:00:45.084074","2018-07-13 20:00:45.084074","AirlineFlightSchedules"
1985992,"SWA3546","2018-07-15 15:10:00","2018-07-15 16:50:00","KPIT","KATL",0,0,143,"2018-07-13 20:00:45.095197","2018-07-13 20:00:45.095197","AirlineFlightSchedules"
1985993,"UAL1210","2018-07-15 23:20:00","2018-07-16 01:06:00","KPIT","KORD",8,0,120,"2018-07-13 20:00:45.105576","2018-07-13 20:00:45.105576","AirlineFlightSchedules"
1985994,"FDY796","2018-07-15 23:30:00","2018-07-16 00:25:00","KPIT","KBFD",0,0,9,"2018-07-13 20:00:45.115305","2018-07-13 20:00:45.115305","AirlineFlightSchedules"
1985995,"SWA4003","2018-07-15 13:30:00","2018-07-15 15:40:00","KPIT","KTPA",0,0,143,"2018-07-13 20:00:45.12387","2018-07-13 20:00:45.12387","AirlineFlightSchedules"
